task_type,input_size,cpu_at_submit,ram_at_submit,active_tasks,gpu_available,actual_duration
synthetic_load,35,87.0,75.8,11,1,8.71
synthetic_load,929,63.6,35.6,2,0,168.41
inference,556,5.7,15.2,6,1,18.42
compress_data,560,79.6,80.3,13,0,43.83
compress_data,34,46.3,36.5,2,0,3.81
synthetic_load,581,11.3,75.7,8,1,112.52
ml_training,453,33.5,41.2,3,0,96.7
inference,74,73.0,56.8,2,1,3.33
matrix_multiply,306,75.8,34.1,2,1,40.37
ml_training,400,40.6,62.9,15,0,83.71
compress_data,774,40.2,73.8,9,0,45.2
synthetic_load,990,90.5,54.3,4,0,172.34
inference,620,40.5,53.8,2,1,17.35
synthetic_load,226,42.1,61.7,4,0,41.68
inference,864,27.7,19.2,1,1,27.33
matrix_multiply,307,65.5,30.1,6,1,48.8
synthetic_load,141,65.4,28.8,9,0,33.05
synthetic_load,507,45.6,59.3,9,0,104.32
synthetic_load,837,33.5,44.3,0,1,155.27
compress_data,739,71.6,44.9,11,0,49.63
synthetic_load,908,48.2,45.6,9,1,185.39
compress_data,671,59.6,77.3,4,0,36.29
matrix_multiply,754,11.8,11.5,0,1,82.13
compress_data,938,8.3,30.8,15,0,57.42
compress_data,922,74.5,68.7,9,0,54.77
inference,102,40.7,50.2,7,0,5.93
compress_data,466,19.3,55.3,4,1,31.87
matrix_multiply,234,73.5,28.5,8,1,35.96
compress_data,540,86.7,38.9,15,1,44.76
matrix_multiply,674,34.2,66.3,8,1,83.02
inference,188,38.9,40.3,2,1,5.81
compress_data,538,41.5,75.4,11,1,41.29
inference,16,50.2,21.1,5,0,1.14
synthetic_load,226,18.5,22.6,3,0,44.4
synthetic_load,747,15.2,64.0,15,0,153.78
ml_training,32,26.9,20.2,5,0,8.19
matrix_multiply,922,56.5,14.5,8,0,107.56
ml_training,623,92.2,61.0,9,0,118.5
inference,492,83.1,23.6,13,0,27.68
compress_data,648,64.4,31.2,10,1,42.53
matrix_multiply,245,39.0,20.6,0,0,26.63
inference,710,42.8,22.0,3,0,35.67
inference,624,8.5,72.7,3,0,31.12
compress_data,933,59.3,76.2,13,1,57.03
matrix_multiply,724,52.7,28.4,15,1,93.16
inference,110,43.3,30.4,7,0,5.55
inference,428,28.2,10.4,0,0,21.81
ml_training,680,23.5,74.3,13,1,92.1
ml_training,677,57.7,30.9,13,1,107.98
ml_training,783,23.3,54.2,15,0,152.44
inference,505,27.8,34.5,11,1,16.52
matrix_multiply,775,25.7,72.6,5,0,78.89
ml_training,814,35.5,54.0,1,0,159.8
matrix_multiply,833,13.2,21.6,13,0,89.93
compress_data,389,12.2,13.0,12,1,30.45
inference,303,69.0,57.8,5,1,9.6
compress_data,880,64.1,74.3,9,0,45.95
inference,532,51.4,28.5,5,0,25.97
matrix_multiply,171,12.8,32.1,12,1,37.56
ml_training,610,23.0,11.2,2,0,124.98
inference,946,57.5,37.8,8,0,49.4
compress_data,475,88.7,56.0,8,0,30.94
matrix_multiply,582,11.5,33.5,3,1,70.41
inference,266,67.5,87.3,15,0,15.05
ml_training,707,46.5,56.9,0,1,96.49
matrix_multiply,401,62.0,89.5,7,1,52.29
synthetic_load,538,53.2,66.1,8,0,101.73
ml_training,699,72.4,37.4,5,1,102.44
compress_data,925,56.6,24.6,6,1,55.47
compress_data,763,26.8,31.2,7,0,49.18
inference,374,19.0,18.5,2,1,11.8
inference,990,8.8,48.6,10,1,33.35
inference,899,29.7,24.6,8,1,24.99
inference,141,9.9,73.9,15,0,7.15
ml_training,891,66.8,24.0,3,1,129.24
matrix_multiply,22,65.7,40.4,3,1,9.57
synthetic_load,201,54.4,29.0,15,1,39.63
ml_training,444,23.9,66.1,11,1,76.2
synthetic_load,471,21.2,20.5,7,0,100.89
compress_data,578,43.9,40.5,4,0,33.05
matrix_multiply,190,42.9,20.8,10,1,33.98
inference,889,56.1,41.9,5,0,41.17
synthetic_load,497,80.5,17.7,10,1,96.8
inference,580,88.9,30.6,0,1,16.21
inference,213,56.9,62.0,5,1,6.66
inference,509,74.7,45.8,2,1,16.56
ml_training,656,91.1,79.5,10,1,107.72
inference,424,81.4,15.7,5,1,12.43
synthetic_load,678,31.2,31.4,12,1,152.07
synthetic_load,775,57.8,87.2,13,0,141.35
matrix_multiply,138,70.5,63.0,2,0,18.29
matrix_multiply,107,10.7,80.3,1,0,13.77
inference,793,94.6,18.3,4,0,42.48
ml_training,326,25.6,69.0,14,0,60.13
compress_data,39,8.2,38.5,10,1,11.0
inference,967,29.5,45.6,5,1,30.46
inference,455,52.1,61.2,9,1,14.09
compress_data,834,13.1,34.6,13,1,47.65
matrix_multiply,10,52.1,70.7,4,1,8.99
inference,18,66.9,49.4,15,1,1.03
ml_training,827,31.4,28.5,0,1,114.12
inference,457,40.5,23.1,12,1,12.93
matrix_multiply,442,61.3,51.3,8,1,61.9
inference,838,29.2,25.0,2,0,37.59
matrix_multiply,662,46.0,46.2,15,0,86.1
compress_data,60,92.3,11.8,3,1,5.36
ml_training,754,5.7,17.2,0,1,104.03
ml_training,329,75.7,49.9,11,1,56.53
matrix_multiply,348,12.2,70.0,4,0,38.51
ml_training,83,53.9,24.5,8,1,16.58
matrix_multiply,796,69.3,40.8,14,0,111.48
matrix_multiply,213,46.5,71.7,6,1,31.54
synthetic_load,968,34.1,60.3,1,0,179.9
synthetic_load,213,37.4,14.2,6,0,39.91
ml_training,342,6.4,73.6,3,1,57.63
matrix_multiply,53,57.3,65.3,4,1,15.32
compress_data,171,50.0,64.9,10,0,16.05
compress_data,728,53.3,18.6,15,0,46.27
inference,817,63.0,37.8,14,0,35.52
ml_training,376,70.2,30.1,1,1,63.52
inference,311,53.8,49.2,5,1,9.35
ml_training,291,83.1,57.9,5,0,63.27
ml_training,312,78.7,53.3,14,0,72.13
inference,398,71.0,80.6,11,0,19.5
matrix_multiply,684,92.0,75.5,6,1,88.54
compress_data,637,30.5,42.8,10,0,36.15
matrix_multiply,54,80.2,20.4,1,0,9.62
compress_data,111,7.9,61.3,12,1,17.12
inference,272,9.4,27.7,2,0,15.46
compress_data,681,49.2,81.2,2,1,41.53
matrix_multiply,379,55.2,85.1,13,1,65.47
matrix_multiply,853,60.5,52.3,2,1,79.76
compress_data,993,51.8,18.1,7,1,50.6
inference,682,27.4,60.0,5,1,22.26
inference,376,65.7,66.2,13,0,17.51
compress_data,573,41.1,37.0,5,1,38.15
synthetic_load,573,94.2,36.0,11,1,125.72
ml_training,855,70.3,58.7,6,1,142.78
synthetic_load,378,91.5,45.8,12,0,82.69
synthetic_load,620,6.5,20.8,9,0,116.69
compress_data,229,82.0,11.7,8,0,15.99
ml_training,374,19.0,31.2,7,0,70.61
synthetic_load,104,56.3,55.5,6,0,23.4
ml_training,187,48.9,81.9,3,1,27.25
inference,400,12.1,14.5,10,1,13.5
ml_training,436,88.7,19.6,7,0,94.8
ml_training,65,32.4,13.3,4,1,11.32
compress_data,166,9.5,68.5,12,1,21.47
inference,526,13.1,44.6,12,0,23.51
matrix_multiply,497,56.4,13.9,12,1,61.74
inference,454,74.6,20.4,4,1,14.62
ml_training,414,63.7,25.7,7,0,74.83
ml_training,341,66.6,56.1,3,1,53.68
synthetic_load,205,33.9,57.5,0,1,37.54
synthetic_load,641,78.9,74.2,4,1,112.06
compress_data,214,66.7,22.5,2,0,13.91
compress_data,981,60.9,21.8,9,0,54.23
matrix_multiply,322,45.5,11.8,6,0,39.61
inference,778,28.3,48.6,4,0,37.73
inference,54,28.0,14.8,6,1,1.65
matrix_multiply,78,40.0,31.7,11,0,22.51
ml_training,246,93.2,50.7,3,1,41.45
inference,554,12.9,25.9,14,0,23.99
inference,322,35.0,41.5,5,0,15.69
synthetic_load,373,61.3,28.9,8,0,78.69
ml_training,921,95.0,89.2,8,0,169.95
ml_training,682,17.4,68.4,7,1,96.23
compress_data,446,92.3,82.8,10,1,33.2
compress_data,678,17.5,53.3,6,0,37.99
inference,941,17.2,89.7,4,0,44.64
inference,555,90.4,19.5,10,0,30.61
synthetic_load,911,92.6,86.9,9,1,197.61
synthetic_load,165,75.1,18.5,5,0,37.22
inference,641,29.0,55.4,7,0,29.73
matrix_multiply,377,12.2,72.4,4,1,47.13
synthetic_load,198,81.7,49.3,4,0,37.44
matrix_multiply,428,73.8,11.2,8,1,53.62
compress_data,785,23.4,24.2,14,1,54.06
ml_training,918,27.2,42.4,1,1,148.86
ml_training,636,89.5,55.8,1,0,129.98
matrix_multiply,908,94.6,51.5,12,0,115.5
inference,793,61.8,13.9,9,1,23.66
synthetic_load,802,79.5,46.9,13,1,167.49
matrix_multiply,716,51.5,21.4,14,0,101.53
matrix_multiply,194,75.1,85.0,4,1,28.4
ml_training,35,21.1,57.2,6,1,6.35
synthetic_load,718,63.4,66.9,5,0,127.1
ml_training,659,37.7,51.9,12,0,129.46
ml_training,54,74.1,83.0,4,0,17.13
compress_data,797,69.1,43.6,9,1,45.29
compress_data,130,85.9,86.8,0,1,7.77
ml_training,885,49.9,74.6,15,0,165.16
ml_training,474,41.9,16.4,0,0,107.9
synthetic_load,644,61.6,75.6,6,0,117.74
matrix_multiply,678,36.4,21.6,1,1,67.52
matrix_multiply,60,14.8,89.5,5,1,14.71
inference,596,75.9,24.2,14,1,21.05
matrix_multiply,796,31.9,39.5,12,0,106.89
inference,76,31.4,20.8,8,1,2.62
inference,224,67.6,59.0,3,0,11.82
inference,966,75.9,66.5,13,1,27.59
inference,648,36.8,20.4,15,1,19.76
compress_data,914,59.8,66.7,6,0,46.49
ml_training,650,76.7,69.0,6,1,99.32
synthetic_load,368,55.4,61.0,0,0,78.97
synthetic_load,819,11.1,34.0,10,0,145.02
synthetic_load,359,40.6,55.5,0,0,65.95
synthetic_load,954,65.5,83.3,1,0,191.04
ml_training,923,82.9,81.7,14,1,161.8
matrix_multiply,865,51.9,55.2,10,0,94.98
synthetic_load,828,87.5,73.7,2,0,156.33
matrix_multiply,357,93.5,60.1,5,1,43.38
matrix_multiply,895,75.4,34.7,10,0,100.85
matrix_multiply,518,83.9,39.7,9,0,70.02
compress_data,124,38.7,13.0,6,0,11.2
matrix_multiply,828,48.4,50.0,6,1,106.19
inference,327,74.8,21.5,3,0,15.59
matrix_multiply,480,39.9,79.2,3,0,51.4
matrix_multiply,713,81.3,79.8,10,1,100.92
matrix_multiply,543,74.0,69.6,0,1,60.42
compress_data,338,23.0,32.9,10,1,27.22
synthetic_load,162,19.2,19.2,3,0,33.2
inference,336,29.4,85.5,9,0,15.41
synthetic_load,637,85.3,53.2,1,0,110.86
matrix_multiply,118,39.5,16.9,12,0,33.73
inference,654,80.3,65.9,11,1,19.4
compress_data,740,73.3,74.7,2,1,41.67
matrix_multiply,842,77.2,65.9,3,1,87.29
ml_training,491,25.9,27.9,8,1,72.81
synthetic_load,817,82.5,36.0,15,0,143.53
matrix_multiply,369,48.1,77.7,9,1,54.46
compress_data,530,14.3,75.4,3,1,31.69
matrix_multiply,821,32.2,46.9,13,0,106.95
inference,172,92.7,40.7,10,0,10.42
inference,451,75.6,44.8,10,0,21.02
matrix_multiply,767,88.8,55.9,15,0,106.51
ml_training,343,55.0,75.8,5,1,62.71
matrix_multiply,622,14.8,75.1,12,1,80.8
matrix_multiply,102,24.6,21.1,0,0,11.98
ml_training,554,31.2,59.2,14,0,103.23
synthetic_load,316,56.3,83.1,9,1,68.53
synthetic_load,101,57.4,58.9,12,0,23.61
matrix_multiply,388,86.1,87.4,0,1,38.06
synthetic_load,896,7.8,44.5,12,1,190.75
ml_training,400,44.2,26.9,5,1,55.56
inference,403,80.9,38.8,13,0,19.63
compress_data,147,6.0,61.9,4,1,12.99
compress_data,96,17.3,74.5,14,1,18.91
ml_training,531,43.2,75.6,12,1,76.07
ml_training,629,5.7,49.9,7,1,93.02
inference,600,38.0,88.3,15,1,16.25
ml_training,994,67.1,21.4,8,1,152.99
inference,921,59.9,29.6,2,1,29.19
synthetic_load,557,75.1,47.5,15,1,110.23
synthetic_load,306,20.1,65.6,9,1,53.5
ml_training,602,20.2,14.1,9,0,113.72
matrix_multiply,139,50.5,78.1,8,1,25.29
synthetic_load,291,82.2,11.1,3,0,67.21
compress_data,684,45.2,74.6,8,0,42.64
inference,892,8.0,88.7,4,0,49.21
ml_training,798,39.5,62.9,5,0,166.23
synthetic_load,65,62.8,70.4,3,0,12.83
ml_training,497,32.1,69.7,7,1,81.48
ml_training,495,28.6,52.4,13,0,94.78
ml_training,401,66.1,86.9,1,0,95.18
synthetic_load,989,81.0,58.8,8,1,185.68
matrix_multiply,271,63.9,41.3,7,0,41.04
compress_data,330,54.3,63.8,2,0,19.48
inference,116,66.7,38.1,9,1,3.77
matrix_multiply,644,13.3,85.1,6,0,78.69
matrix_multiply,98,82.1,20.4,5,0,22.66
synthetic_load,311,47.0,84.9,14,1,68.24
synthetic_load,273,19.6,15.9,1,1,53.15
matrix_multiply,274,91.0,31.2,14,0,52.82
compress_data,634,40.3,61.6,3,0,36.39
ml_training,233,60.3,18.5,14,1,33.24
matrix_multiply,82,56.4,30.0,14,0,35.83
compress_data,678,62.6,84.6,12,1,41.23
synthetic_load,936,40.2,10.3,15,1,184.4
matrix_multiply,563,25.3,40.8,15,0,81.68
synthetic_load,351,66.4,42.0,2,1,72.27
synthetic_load,92,80.7,70.8,9,0,18.07
matrix_multiply,1000,39.6,25.3,12,0,124.68
synthetic_load,508,12.6,60.6,6,0,87.66
matrix_multiply,747,94.7,29.1,12,0,105.99
synthetic_load,521,53.1,76.7,14,0,90.64
matrix_multiply,355,75.9,13.4,3,0,47.83
inference,479,89.6,79.6,4,0,28.01
matrix_multiply,763,17.7,62.3,15,0,91.99
compress_data,24,20.5,14.0,9,0,8.7
compress_data,865,58.2,75.4,3,0,47.87
inference,235,10.7,26.2,10,1,6.78
inference,568,17.4,76.9,6,0,29.37
synthetic_load,74,15.9,21.3,13,0,16.01
inference,178,44.5,84.1,1,0,8.22
inference,395,75.0,11.3,15,0,17.46
compress_data,958,13.0,62.1,9,1,60.27
ml_training,718,16.4,21.4,8,1,105.91
compress_data,635,67.3,57.7,15,0,47.22
synthetic_load,366,42.7,54.6,6,0,84.86
matrix_multiply,643,37.6,70.9,7,1,82.9
compress_data,293,9.8,19.0,4,1,18.41
compress_data,696,88.0,14.3,11,1,40.19
synthetic_load,352,60.5,81.2,14,0,63.11
matrix_multiply,957,53.4,22.6,0,1,98.81
matrix_multiply,926,26.2,45.6,10,1,99.07
synthetic_load,245,75.1,36.1,3,0,54.1
compress_data,394,85.2,15.9,15,0,35.95
compress_data,231,88.5,46.4,12,1,20.08
compress_data,657,37.3,31.6,10,0,35.93
inference,71,30.3,18.9,14,1,2.37
synthetic_load,235,84.8,58.3,5,0,42.65
inference,510,82.6,27.3,15,1,15.06
ml_training,763,83.5,29.8,13,0,174.94
inference,978,18.4,55.9,0,1,33.78
matrix_multiply,491,71.0,50.3,13,1,71.7
matrix_multiply,473,49.6,16.6,0,1,56.5
compress_data,377,31.6,61.8,2,0,22.17
synthetic_load,175,68.3,78.6,0,1,35.97
compress_data,905,68.3,24.8,11,1,58.15
matrix_multiply,891,61.5,40.8,10,0,100.63
synthetic_load,724,90.1,53.4,6,0,151.9
synthetic_load,763,88.9,51.2,11,0,136.36
synthetic_load,486,60.7,39.2,5,0,100.21
compress_data,151,93.3,29.1,3,1,11.59
inference,902,91.3,26.8,7,1,26.74
synthetic_load,525,66.2,32.2,2,1,101.39
ml_training,523,52.4,19.8,9,1,83.88
matrix_multiply,202,85.3,46.6,2,1,30.74
synthetic_load,991,91.1,18.7,8,0,211.85
ml_training,164,83.7,51.7,0,1,28.26
inference,964,16.9,37.7,14,0,45.34
matrix_multiply,32,83.5,28.6,10,1,22.9
synthetic_load,507,58.4,65.7,14,1,96.54
compress_data,929,76.0,23.7,8,0,53.31
synthetic_load,798,81.1,21.9,9,1,183.29
inference,956,19.5,52.8,5,0,52.88
compress_data,175,26.4,13.3,10,0,16.84
synthetic_load,198,23.5,66.6,10,1,35.84
ml_training,562,92.8,52.7,3,0,113.81
ml_training,796,18.1,46.6,10,0,136.93
inference,529,34.8,66.4,15,1,18.5
inference,692,18.2,55.2,14,1,22.13
ml_training,931,8.6,64.2,3,1,121.14
inference,871,24.8,38.6,10,0,45.22
compress_data,607,52.4,72.5,8,0,33.35
inference,879,45.1,63.7,2,1,24.36
synthetic_load,627,59.5,85.5,11,1,113.22
ml_training,388,39.8,11.0,11,1,56.56
ml_training,905,55.5,27.3,14,1,151.14
synthetic_load,177,77.5,87.6,13,1,32.95
inference,622,12.7,26.6,15,1,16.34
inference,784,38.8,10.5,8,1,21.58
ml_training,737,56.1,83.2,6,0,166.39
synthetic_load,577,49.2,75.8,9,1,116.18
ml_training,239,7.4,10.2,8,1,41.32
ml_training,137,63.8,81.4,13,0,31.5
compress_data,39,15.7,32.2,2,1,4.63
inference,456,83.2,60.2,15,0,22.73
inference,27,81.1,23.0,1,0,2.04
compress_data,375,19.7,31.8,13,1,26.03
synthetic_load,552,62.5,16.1,6,0,120.52
inference,780,20.0,35.8,10,1,21.98
synthetic_load,108,53.1,38.1,4,0,20.19
synthetic_load,391,75.1,43.0,5,0,72.96
inference,236,79.8,73.6,3,1,7.78
matrix_multiply,129,78.7,83.9,15,1,37.11
synthetic_load,152,78.5,81.2,10,0,33.98
matrix_multiply,772,78.3,27.8,4,0,82.08
compress_data,143,93.3,44.0,3,0,9.3
ml_training,785,43.8,25.7,1,0,157.79
synthetic_load,54,11.0,63.4,3,0,12.41
compress_data,611,86.1,24.8,11,0,35.17
synthetic_load,981,57.2,38.2,7,0,173.61
inference,791,6.3,27.4,6,1,21.45
inference,14,92.6,17.9,6,1,1.29
inference,199,44.6,86.6,5,1,7.34
ml_training,229,51.3,42.6,10,0,48.21
inference,149,49.6,38.9,9,0,6.95
ml_training,128,39.6,46.6,9,1,19.93
ml_training,307,93.6,44.2,2,1,57.35
synthetic_load,193,6.2,63.9,3,1,38.0
matrix_multiply,132,17.9,42.0,3,0,16.17
compress_data,356,23.0,77.5,12,0,27.34
ml_training,752,49.9,71.2,8,1,111.2
inference,982,41.4,48.8,8,0,53.49
matrix_multiply,135,27.6,49.8,4,0,18.37
matrix_multiply,860,11.1,64.2,5,1,97.01
synthetic_load,166,32.2,59.9,2,1,36.82
compress_data,310,64.6,49.2,8,1,25.55
inference,569,6.6,71.1,13,0,27.52
synthetic_load,883,38.9,46.8,1,0,180.39
synthetic_load,915,68.5,49.3,4,1,196.3
ml_training,792,14.8,64.0,15,1,122.93
compress_data,528,10.0,31.1,12,1,39.89
synthetic_load,338,10.5,57.2,4,1,64.74
inference,37,73.9,60.0,12,0,2.53
synthetic_load,431,36.6,62.9,7,0,90.79
inference,96,86.9,15.2,9,0,5.39
matrix_multiply,561,34.4,46.9,13,1,71.91
ml_training,612,7.0,35.3,12,1,94.81
ml_training,112,67.2,26.5,15,1,18.02
synthetic_load,382,92.2,26.1,2,0,73.25
matrix_multiply,314,94.7,42.2,7,0,49.68
inference,107,58.3,31.9,15,1,3.46
matrix_multiply,677,79.1,50.4,9,1,89.33
synthetic_load,214,42.3,30.1,14,0,48.63
inference,893,21.8,49.9,14,1,30.55
inference,838,60.3,71.5,13,0,42.79
